               File1                        File2          Case  File1_Value  File2_Value  AbsError  SMAPE(%)
--------------------  ---------------------------  ------------  -----------  -----------  --------  --------
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1000         9603         9583        20  0.208485
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1002         9761         9718        43  0.441501
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1005         9729         9725         4  0.041123
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1006        10109        10090        19  0.188128
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1007        10247        10230        17  0.166040
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1010        10161        10119        42  0.414201
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1012        10253        10246         7  0.068296
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1015        14620        14615         5  0.034206
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1016        15466        15434        32  0.207120
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1017        10848        10842         6  0.055325
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1019        10267        10237        30  0.292626
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1020        21809        21762        47  0.215740
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1021        11419        11414         5  0.043796
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1022        13811        13772        39  0.282783
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1024         9732         9700        32  0.329354
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1025        10289        10264        25  0.243273
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1029        21180        21153        27  0.127560
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1034        13724        13688        36  0.262659
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1035        11615        11599        16  0.137848
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1036        13959        13948        11  0.078833
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt   chr1_S1_103        10852        10815        37  0.341533
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1040        12337        12298        39  0.316623
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1042        11305        11291        14  0.123916
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1043        10868        10838        30  0.276421
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1045        13609        13602         7  0.051450
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1048         9741         9732         9  0.092436
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt   chr1_S1_104        10861        10823        38  0.350489
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1050         9718         9702        16  0.164779
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1051        10330        10301        29  0.281130
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1053        14644        14620        24  0.164024
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1055        10464        10462         2  0.019115
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1056        13710        13648        62  0.453250
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1057        12994        12980        14  0.107800
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1059         9683         9678         5  0.051650
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt   chr1_S1_105        10285        10244        41  0.399435
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1064        11467        11446        21  0.183302
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1067        12046        12003        43  0.357603
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1068        11420        11393        27  0.236707
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1069         9584         9584         0  0.000000
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1070        15264        15245        19  0.124553
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1071         9854         9829        25  0.254026
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1072        10292        10289         3  0.029153
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1073        11459        11434        25  0.218407
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1076        12126        12113        13  0.107265
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt  chr1_S1_1078         9664         9657         7  0.072460
GWFA_err15%_100k.txt  GWFA_err15%_100k_github.txt   chr1_S1_107        12183        12134        49  0.403010
