               File1                        File2          Case  File1_Value  File2_Value  AbsError   SMAPE(%)
--------------------  ---------------------------  ------------  -----------  -----------  --------  ---------
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1000        24973        24947        26   0.104167
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1002        24556        24528        28   0.114090
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1005        29899        29827        72   0.241101
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1006        21714        21682        32   0.147479
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1007        23936        23893        43   0.179807
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1014        24388        24336        52   0.213447
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1015        27350        27285        65   0.237943
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1016        21768        21742        26   0.119513
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1017        23617        23567        50   0.211936
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1019        22519        22478        41   0.182234
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1020        22981        22919        62   0.270153
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1021        21894        21858        36   0.164564
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1022        25998        25950        48   0.184800
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1024        23547        23505        42   0.178526
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1025        21422        21369        53   0.247716
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1027        24270        24204        66   0.272311
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1029        26147        26103        44   0.168421
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1030        25089        25026        63   0.251422
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1034        27556        27509        47   0.170707
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1035        21834        21812        22   0.100811
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1036        22245        22187        58   0.261073
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt   chr1_S1_103        21094        21078        16   0.075880
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1040        22935        22882        53   0.231355
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1041        22519        22482        37   0.164441
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1042        22522        22469        53   0.235603
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1043        23051        23011        40   0.173679
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1045        23033        22974        59   0.256483
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1048        21137        21109        28   0.132557
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt   chr1_S1_104        21593        21530        63   0.292187
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1050        21146        21125        21   0.099359
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1051        21396        21354        42   0.196491
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1053        26641        26589        52   0.195379
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1055        22501        22437        64   0.284837
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1056        21079        21042        37   0.175684
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1057        24420        24330        90   0.369231
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1059        23390        23339        51   0.218280
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt   chr1_S1_105        22925        22871        54   0.235828
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1064        21180        21155        25   0.118106
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1067        22527        22454        73   0.324581
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1068        22149        22115        34   0.153624
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1069        25925        25877        48   0.185321
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1070        24088        24061        27   0.112152
GWFA_err30%_100k.txt  GWFA_err30%_100k_github.txt  chr1_S1_1071        22638        22592        46   0.203405
