              File1                       File2           Case  File1_Value  File2_Value  AbsError  SMAPE(%)
-------------------  --------------------------  -------------  -----------  -----------  --------  --------
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10001         1536         1531         5  0.326052
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10014         1119         1118         1  0.089405
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10034         1286         1285         1  0.077791
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10038         1239         1238         1  0.080743
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10078         1059         1059         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10107         1199         1196         3  0.250522
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10113         1105         1103         2  0.181159
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10117         1009         1009         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10133         1110         1110         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10178         1039         1039         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10208         1449         1449         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt   chr1_S1_1022         2320         2318         2  0.086244
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10249         2113         2112         1  0.047337
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10253         1060         1060         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10269         1616         1615         1  0.061900
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10277         1492         1491         1  0.067047
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10289         1070         1070         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10327         1418         1412         6  0.424028
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10346         1894         1877        17  0.901618
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10366         1126         1110        16  1.431127
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10375          981          981         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10376         1051         1048         3  0.285850
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10381         1063         1059         4  0.377003
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10422         1080         1078         2  0.185357
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt   chr1_S1_1043         1000         1000         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10480         1354         1354         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10489         1064         1063         1  0.094029
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10498         1242         1238         4  0.322581
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10523         1208         1208         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10525          995          994         1  0.100553
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10590         1204         1203         1  0.083091
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10594         1238         1238         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10595         1084         1084         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10596         1568         1566         2  0.127632
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10612         1040         1040         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10619         1174         1174         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10642          978          978         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10682          999          999         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10694         1015         1015         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10744         1097         1097         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10766         1006         1005         1  0.099453
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10789         1109         1092        17  1.544752
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10791         1097         1096         1  0.091199
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10806         1298         1280        18  1.396431
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10817          978          978         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10850         1155         1153         2  0.173310
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10899         1006         1005         1  0.099453
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10924          984          983         1  0.101678
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10987         1007         1007         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_10990         1291         1288         3  0.232648
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11005         1021         1021         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11028         1014         1014         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11043         2100         2100         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11056         1361         1361         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11064         1354         1354         0  0.000000
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11065         1774         1773         1  0.056386
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11074         1524         1518         6  0.394477
GWFA_err15%_10k.txt  GWFA_err15%_10k_github.txt  chr1_S1_11105         1159         1157         2  0.172712
