              File1                       File2          Case  File1_Value  File2_Value  AbsError   SMAPE(%)
-------------------  --------------------------  ------------  -----------  -----------  --------  ---------
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1000        17818        17781        37   0.207871
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1004        19374        19353        21   0.108451
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1005        17460        17438        22   0.126082
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1007        17579        17553        26   0.148013
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1010        17439        17402        37   0.212393
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1012        22908        22864        44   0.192257
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1015        16828        16800        28   0.166528
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1016        22861        22770        91   0.398852
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1017        19024        19000        24   0.126236
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1019        18692        18597        95   0.509534
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1021        20533        20496        37   0.180360
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1029        18269        18243        26   0.142419
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1031        17129        17088        41   0.239647
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1033        19779        19732        47   0.237908
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1035        18487        18445        42   0.227445
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_103        18551        18521        30   0.161847
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1042        23521        23466        55   0.234107
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1043        17090        17083         7   0.040968
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1044        20156        20125        31   0.153919
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1048        16941        16913        28   0.165416
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1054        17345        17314        31   0.178886
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1055        18770        18726        44   0.234692
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1059        18409        18381        28   0.152215
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_105        19335        19285        50   0.258933
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1063        16955        16893        62   0.366344
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1065        17407        17375        32   0.184003
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1066        17524        17509        15   0.085634
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1068        19248        19217        31   0.161185
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1070        17887        17837        50   0.279924
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1071        18754        18725        29   0.154753
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1072        20202        20169        33   0.163484
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1076        17772        17735        37   0.208410
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1079        17577        17559        18   0.102459
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_107        17208        17197        11   0.063944
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1081        17857        17832        25   0.140099
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1086        17589        17552        37   0.210580
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1087        17466        17447        19   0.108842
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1089        20517        20478        39   0.190267
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1094        17364        17332        32   0.184459
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1097        17283        17248        35   0.202716
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt    chr1_S1_10        21785        21740        45   0.206778
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1114        19481        19459        22   0.112994
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1115        16882        16860        22   0.130401
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1116        22897        22833        64   0.279904
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_111        18985        18940        45   0.237310
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1124        16955        16934        21   0.123934
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1125        17972        17915        57   0.317664
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1126        20807        20747        60   0.288781
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1132        20807        20774        33   0.158726
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1133        16979        16944        35   0.206350
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1134        17554        17514        40   0.228128
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1140        17950        17934        16   0.089176
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1141        21532        21501        31   0.144075
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1146        17553        17544         9   0.051286
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1147        17615        17582        33   0.187516
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1148        16811        16795        16   0.095221
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1150        17919        17894        25   0.139614
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1152        20030        19963        67   0.335059
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1156        16816        16799        17   0.101145
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1157        20456        20369        87   0.426209
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1160        20331        20300        31   0.152593
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1161        23405        23352        53   0.226704
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1162        17367        17343        24   0.138289
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1165        17834        17792        42   0.235783
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1167        17658        17620        38   0.215432
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1174        18401        18344        57   0.310246
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1175        16990        16965        25   0.147254
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_117        16906        16883        23   0.136139
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1181        17064        17006        58   0.340475
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1182        18489        18466        23   0.124476
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1184        17793        17736        57   0.320865
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1185        19885        19868        17   0.085528
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1186        16923        16898        25   0.147837
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1187        24394        24351        43   0.176428
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1190        19827        19746        81   0.409370
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1192        23541        23435       106   0.451294
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1194        20458        20399        59   0.288812
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1195        18328        18300        28   0.152889
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt    chr1_S1_11        18847        18784        63   0.334830
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1204        20717        20693        24   0.115914
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1207        17992        17954        38   0.211428
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1208        23104        23054        50   0.216647
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1212        24481        24424        57   0.233105
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1213        16837        16814        23   0.136697
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1216        20391        20361        30   0.147232
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_121        17725        17708        17   0.095956
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1220        18558        18512        46   0.248179
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1223        19297        19259        38   0.197116
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1225        21328        21288        40   0.187723
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1226        17131        17111        20   0.116816
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1232        18073        18061        12   0.066419
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1233        16898        16883        15   0.088807
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1235        21618        21542        76   0.352178
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1236        16848        16820        28   0.166330
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1237        17908        17876        32   0.178851
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1239        17535        17511        24   0.136963
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_123        19877        19832        45   0.226649
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1244        17501        17473        28   0.160119
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1246        18379        18331        48   0.261509
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1252        16989        16965        24   0.141368
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1255        17113        17086        27   0.157899
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1257        19746        19728        18   0.091199
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt   chr1_S1_125        17230        17205        25   0.145201
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1260        17783        17764        19   0.106901
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1261        16920        16890        30   0.177462
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1264        16948        16918        30   0.177169
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1265        20824        20770        54   0.259653
GWFA_err30%_80k.txt  GWFA_err30%_80k_github.txt  chr1_S1_1273        20763        20717        46   0.221794
