             File1                      File2          Case  File1_Value  File2_Value  AbsError   SMAPE(%)
------------------  -------------------------  ------------  -----------  -----------  --------  ---------
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1004          773          760        13   1.696021
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1005         1557         1557         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1010          805          772        33   4.185162
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1012         1633         1619        14   0.861009
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1013          848          823        25   2.992220
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1015         2294         2293         1   0.043601
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1016         1604         1574        30   1.887980
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1017         7203         7186        17   0.236292
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1019         1602         1596         6   0.375235
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1020         2376         2376         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1029         3104         3089        15   0.484418
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1031         5233         5216        17   0.325390
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1033         3022         3021         1   0.033096
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1034         2293         2293         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1035         7031         6999        32   0.456165
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt   chr1_S1_103         6546         6542         4   0.061125
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1042          844          844         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1044          789          788         1   0.126823
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1048         1590         1551        39   2.483286
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1054         9871         9870         1   0.010131
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1059          826          822         4   0.485437
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt   chr1_S1_105         7081         7080         1   0.014123
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1063          802          801         1   0.124766
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1065         4530         4529         1   0.022077
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1066          829          829         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1067          807          805         2   0.248139
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1068         2405         2358        47   1.973546
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt   chr1_S1_106         4418         4403        15   0.340097
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1070         2252         2252         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1071         2961         2960         1   0.033778
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1076         2295         2295         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1077          803          803         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1079          808          807         1   0.123839
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt   chr1_S1_107          853          837        16   1.893491
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1081         9173         9151        22   0.240122
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1085          769          769         0   0.000000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1086          783          771        12   1.544402
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1089         3788         3787         1   0.026403
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1094         2305         2303         2   0.086806
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1097         1615         1585        30   1.875000
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt    chr1_S1_10         4518         4507        11   0.243767
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1102         5258         5239        19   0.362008
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1114         1580         1560        20   1.273885
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1115         4541         4522        19   0.419287
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt  chr1_S1_1116         7084         7078         6   0.084734
GWFA_err5%_80k.txt  GWFA_err5%_80k_github.txt   chr1_S1_111          817          815         2   0.245098
