             File1                      File2           Case  File1_Value  File2_Value  AbsError   SMAPE(%)
------------------  -------------------------  -------------  -----------  -----------  --------  ---------
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10008          410          410         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10014         2943         2928        15   0.510986
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10029         3281         3275         6   0.183038
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10040          220          203        17   8.037825
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10051          403          403         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt   chr1_S1_1005          416          416         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10065          396          396         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10086          955          955         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10093          204          204         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10115          654          630        24   3.738318
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10118          225          203        22  10.280374
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10123          401          401         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10135         2044         2023        21   1.032702
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10155         1730         1729         1   0.057820
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10161         2094         2082        12   0.574713
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10192         1633         1633         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10200         1463         1462         1   0.068376
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10203          385          383         2   0.520833
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10217          760          760         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10240          218          218         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt   chr1_S1_1026         1362         1361         1   0.073448
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10286         1066         1066         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10292          963          963         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10305          971          967         4   0.412797
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10307          207          207         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10324          213          213         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10339          560          560         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10347          374          374         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt   chr1_S1_1036          940          940         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10384          809          798        11   1.369011
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10388         2436         2435         1   0.041059
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt    chr1_S1_103         1991         1989         2   0.100503
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10409         1373         1373         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10422         1824         1823         1   0.054840
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10434          422          422         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10435          604          604         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10449          793          793         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10450          398          398         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10453         1159         1158         1   0.086319
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt   chr1_S1_1045          210          210         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10461         1024         1024         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10469          987          987         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10487          207          207         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10498          211          198        13   6.356968
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt   chr1_S1_1050         1024         1014        10   0.981354
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10523          558          556         2   0.359066
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10527         1766         1766         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10553         1110         1094        16   1.451906
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10563          211          211         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10565          197          197         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10570          185          185         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10580          378          378         0   0.000000
GWFA_err5%_20k.txt  GWFA_err5%_20k_github.txt  chr1_S1_10589          651          648         3   0.461894
