              File1                       File2          Case  File1_Value  File2_Value  AbsError  SMAPE(%)
-------------------  --------------------------  ------------  -----------  -----------  --------  --------
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1004         6857         6855         2  0.029172
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1005         8225         8220         5  0.060809
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1012         7530         7525         5  0.066423
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1013         7583         7557        26  0.343461
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1015         6873         6867         6  0.087336
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1016         6142         6125        17  0.277166
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1017         6485         6481         4  0.061700
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1019         7366         7358         8  0.108666
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1029         7320         7287        33  0.451838
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1035         8324         8318         6  0.072107
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1044         6283         6272        11  0.175229
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1048         6967         6965         2  0.028711
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1054        11831        11796        35  0.296271
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1059         7346         7336        10  0.136221
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt   chr1_S1_105         5875         5874         1  0.017023
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1063         6552         6545         7  0.106895
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1065         9293         9277        16  0.172321
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1067         8094         8078        16  0.197873
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1070         6905         6885        20  0.290065
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1071         5879         5876         3  0.051042
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1076         6976         6968         8  0.114745
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1077         6140         6124        16  0.260926
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1079        10849        10836        13  0.119899
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt   chr1_S1_107         8575         8567         8  0.093338
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1081         7396         7390         6  0.081158
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1085         7262         7255         7  0.096439
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1086         6448         6446         2  0.031022
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1094         7490         7477        13  0.173716
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1097         6010         6010         0  0.000000
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt    chr1_S1_10         5922         5919         3  0.050671
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1102         6173         6165         8  0.129681
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1116        11985        11956        29  0.242262
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt   chr1_S1_111         6232         6226         6  0.096324
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1120         6904         6891        13  0.188474
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1124         5978         5976         2  0.033462
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1125        14344        14311        33  0.230326
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1126         6773         6770         3  0.044303
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1129         6313         6283        30  0.476342
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1132         6622         6584        38  0.575496
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1134         6190         6189         1  0.016156
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1140         6193         6188         5  0.080769
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1141         6550         6537        13  0.198670
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1147         6708         6706         2  0.029820
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1148         9156         9151         5  0.054624
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1150         5939         5920        19  0.320432
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1152         5978         5976         2  0.033462
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1156         7518         7506        12  0.159744
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1157         6850         6845         5  0.073019
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1161         7921         7908        13  0.164255
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1165        11826        11800        26  0.220097
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1170         5921         5911        10  0.169033
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1174         7433         7430         3  0.040369
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1175         5980         5968        12  0.200870
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1177        14105        14084        21  0.148994
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1178        12056        11993        63  0.523930
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1179         8148         8109        39  0.479793
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1181         6969         6914        55  0.792336
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1185         9262         9251        11  0.118835
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1187         5985         5967        18  0.301205
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1192         6949         6946         3  0.043181
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1194         6885         6860        25  0.363769
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt  chr1_S1_1195         5863         5847        16  0.273271
GWFA_err15%_60k.txt  GWFA_err15%_60k_github.txt    chr1_S1_11         6219         6216         3  0.048251
